Model,MAE,RMSE,R2
Linear Regression,1.8704940180047023,4.020100220890313,0.48406852213911
Ridge,1.8687405190421147,4.016529447115366,0.4849846467667652
Lasso,1.837247227792218,3.997450507859723,0.489865780903467
