District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,52.0,86.54,4.50008
Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,2.0,1.0,16.0,78.13,1.2500799999999999
Cầu Giấy,Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,38.0,210.53,8.00014
Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,35.0,74.29,2.60015
Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,45.0,57.78,2.6001
Cầu Giấy,Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,35.0,113.71,3.97985
Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,40.0,72.5,2.9
Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,39.0,120.51,4.69989
Nam Từ Liêm,Xuân Phương,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,34.0,70.59,2.40006
Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,6.0,3.0,36.0,76.388,2.7499680000000004
Hoàng Mai,Hoàng Văn Thụ,Nhà phố liền kề,Đã có sổ,5.0,5.0,90.0,84.44,7.5996
Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,85.71,2.99985
Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,30.0,96.67,2.9001
Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,19.0,102.63,1.9499699999999998
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,20.0,77.5,1.55
Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,95.0,110.53,10.500350000000001
Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,22.0,70.45,1.5499
Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,50.0,100.0,5.0
Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,42.0,85.71,3.59982
Hai Bà Trưng,Quỳnh Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,46.0,82.61,3.8000599999999998
Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,45.0,73.33,3.2998499999999997
Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,31.0,153.23,4.75013
Đống Đa,Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,75.0,77.33,5.79975
Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,40.0,40.5,1.62
Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,50.0,109.0,5.45
Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6.0,5.0,36.0,83.33,2.99988
Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,22.0,70.45,1.5499
Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5.0,2.0,30.0,158.33,4.7499
Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,6.0,4.0,35.0,104.29,3.65015
Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,35.0,162.86,5.7001
Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,26.0,63.46,1.64996
Đống Đa,Cát Linh,"Nhà mặt phố, mặt tiền",Đã có sổ,3.0,3.0,39.0,330.77,12.90003
Long Biên,Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,4.0,5.0,39.0,73.08,2.85012
Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,6.0,6.0,44.3,102.27,4.530561
Hoàng Mai,Giáp Bát,Nhà biệt thự,Đã có sổ,4.0,4.0,130.0,121.54,15.8002
Đống Đa,Trung Phụng,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,3.0,24.0,104.17,2.50008
Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,49.0,104.08,5.09992
Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Dang_cap_nhat,5.0,4.0,51.0,121.57,6.200069999999999
Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,2.0,1.0,24.0,66.67,1.60008
Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,3.0,40.0,162.5,6.5
Long Biên,Cự Khối,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,30.0,50.27,1.5081000000000002
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,47.0,63.83,3.0000099999999996
Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,50.0,87.0,4.35
Huyện Gia Lâm,Thị trấn Trâu Quỳ,"Nhà mặt phố, mặt tiền",Dang_cap_nhat,1.0,1.0,35.0,71.43,2.5000500000000003
Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,45.0,82.22,3.6999
Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,49.0,104.08,5.09992
Hoàng Mai,Đại Kim,Nhà phố liền kề,Đã có sổ,4.0,6.0,72.0,123.61,8.89992
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,45.0,82.22,3.6999
Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,48.0,72.92,3.5001599999999997
Ba Đình,Quán Thánh,"Nhà mặt phố, mặt tiền",Đã có sổ,9.0,4.0,80.0,756.25,60.5
Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,33.0,87.88,2.90004
Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,40.0,87.5,3.5
Tây Hồ,Nhật Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,8.0,84.0,178.57,14.99988
Tây Hồ,Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,3.0,2.0,30.0,180.0,5.4
Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,2.0,3.0,47.0,70.92,3.3332400000000004
Bắc Từ Liêm,Cổ Nhuế 2,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,81.43,2.85005
Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,4.0,6.0,45.0,97.78,4.4001
Hai Bà Trưng,Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,51.0,105.88,5.3998800000000005
Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,30.0,111.67,3.3501
Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,42.0,103.57,4.349939999999999
Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,46.0,78.26,3.59996
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,40.0,95.0,3.8
Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,22.0,68.18,1.49996
Hà Đông,Phú La,"Nhà ngõ, hẻm",Đang chờ sổ,2.0,2.0,46.0,43.48,2.00008
Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,34.0,79.41,2.6999400000000002
Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,25.0,86.0,2.15
Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,45.0,84.44,3.7998
Huyện Thanh Trì,Hữu Hoà,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,51.6,40.2,2.07432
Đống Đa,Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,9.0,4.0,61.0,431.15,26.30015
Long Biên,Ngọc Lâm,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,3.0,73.0,58.9,4.2997
Hoàng Mai,Hoàng Văn Thụ,Nhà phố liền kề,Đã có sổ,7.0,6.0,40.0,180.0,7.2
Bắc Từ Liêm,Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,6.0,10.0,50.0,90.0,4.5
Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,42.0,76.19,3.19998
Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,45.0,66.67,3.00015
Thanh Xuân,Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,50.0,73.0,3.65
Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,50.0,84.0,4.2
Hoàng Mai,Giáp Bát,"Nhà mặt phố, mặt tiền",Đã có sổ,9.0,10.0,100.0,120.0,12.0
Đống Đa,Khương Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,48.0,91.67,4.40016
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,3.0,4.0,45.0,91.11,4.09995
Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,60.0,91.67,5.5001999999999995
Hai Bà Trưng,Vĩnh Tuy,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,4.0,35.0,175.71,6.149850000000001
Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,31.0,129.03,3.99993
Đống Đa,Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,45.0,111.11,4.99995
Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,50.0,90.0,4.5
Hai Bà Trưng,Thanh Lương,Nhà biệt thự,Đã có sổ,3.0,9.0,150.0,166.0,24.9
Cầu Giấy,Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,8.0,7.0,76.0,230.26,17.49976
Long Biên,Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,42.0,105.95,4.4499
Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,52.0,100.0,5.2
Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,40.0,40.5,1.62
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,44.0,67.05,2.9501999999999997
Đống Đa,Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,35.0,78.57,2.7499499999999997
Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,30.0,83.33,2.4999000000000002
Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,1.0,1.0,42.0,47.62,2.00004
Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,40.0,85.0,3.4
Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,37.0,37.84,1.4000800000000002
Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,50.0,60.0,3.0
Đống Đa,Văn Miếu,"Nhà ngõ, hẻm",Dang_cap_nhat,5.0,5.0,31.0,80.65,2.50015
Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Giấy tờ khác,4.0,3.0,33.0,112.12,3.69996
Ba Đình,Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,46.0,108.7,5.0001999999999995
Hoàng Mai,Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,35.0,100.0,3.5
Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,42.0,83.33,3.49986
Đống Đa,Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,30.0,133.33,3.9999000000000007
Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,29.0,96.55,2.79995
Đống Đa,Văn Chương,"Nhà ngõ, hẻm",Dang_cap_nhat,4.0,3.0,40.0,70.0,2.8
Thanh Xuân,Kim Giang,"Nhà mặt phố, mặt tiền",Dang_cap_nhat,5.0,3.0,33.0,80.3,2.6499
Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,60.0,63.33,3.7998
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4.0,2.0,62.0,53.23,3.3002599999999997
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,38.0,92.11,3.50018
Đống Đa,Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,115.71,4.04985
Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,43.0,79.07,3.40001
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,38.0,92.11,3.50018
Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,33.0,81.82,2.70006
Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,6.0,3.0,35.0,77.14,2.6999
Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,2.0,2.0,45.0,62.22,2.7999
Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,50.0,81.0,4.05
Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,39.0,84.62,3.30018
Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,25.0,98.0,2.45
Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,34.0,86.76,2.94984
Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,38.0,61.84,2.34992
Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,1.0,1.0,45.0,44.44,1.9998
Hai Bà Trưng,Quỳnh Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,5.0,40.0,120.0,4.8
Thanh Xuân,Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,60.0,70.83,4.2498000000000005
Hai Bà Trưng,Đồng Nhân,"Nhà ngõ, hẻm",Dang_cap_nhat,1.0,1.0,30.0,33.33,0.9999
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,34.0,79.41,2.6999400000000002
Đống Đa,Trung Phụng,"Nhà ngõ, hẻm",Dang_cap_nhat,5.0,4.0,30.0,83.33,2.4999000000000002
Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,50.0,80.0,4.0
Cầu Giấy,Yên Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,60.0,175.0,10.5
Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,45.0,100.0,4.5
Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,50.0,90.0,4.5
Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,30.0,58.33,1.7498999999999998
Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,6.0,5.0,61.0,70.49,4.2998899999999995
Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,30.0,132.67,3.9800999999999993
Đống Đa,Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,38.0,82.89,3.14982
Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,74.29,2.60015
Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,46.0,79.35,3.6501
Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Dang_cap_nhat,4.0,4.0,40.0,125.0,5.0
Hoàng Mai,Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,35.0,80.0,2.8
Đống Đa,Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,45.0,81.11,3.64995
Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,7.0,5.0,62.0,106.45,6.599900000000001
Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,50.0,81.0,4.05
Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,60.0,141.67,8.5002
Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,6.0,9.0,50.0,102.0,5.1
Thanh Xuân,Thượng Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,7.0,7.0,50.0,400.0,20.0
Long Biên,Gia Thụy,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,70.0,107.14,7.4998000000000005
Hai Bà Trưng,Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,3.0,3.0,23.0,108.7,2.5000999999999998
Đống Đa,Thổ Quan,"Nhà ngõ, hẻm",Dang_cap_nhat,4.0,4.0,33.0,69.7,2.3001
Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,56.0,91.07,5.09992
Long Biên,Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,50.0,70.0,3.5
Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,33.0,71.82,2.37006
Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,30.0,103.33,3.0999
Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,33.0,51.52,1.7001600000000001
Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,6.0,4.0,68.0,195.59,13.300120000000001
Hai Bà Trưng,Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,58.0,50.0,2.9
Đống Đa,Quốc Tử Giám,"Nhà ngõ, hẻm",Dang_cap_nhat,1.0,1.0,35.0,71.43,2.5000500000000003
Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,47.0,65.96,3.10012
Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,36.0,75.0,2.7
Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,34.0,58.24,1.9801600000000001
Cầu Giấy,Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,5.0,70.0,350.0,24.5
Hoàng Mai,Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,3.0,3.0,102.0,85.98,8.769960000000001
Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,35.0,80.0,2.8
Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,6.0,38.0,73.68,2.79984
Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,33.0,107.58,3.55014
Hai Bà Trưng,Phạm Đình Hổ,"Nhà mặt phố, mặt tiền",Đã có sổ,2.0,2.0,70.0,421.43,29.500100000000003
Hai Bà Trưng,Phạm Đình Hổ,"Nhà ngõ, hẻm",Đã có sổ,2.0,2.0,40.0,47.5,1.9
Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,40.0,800.0,32.0
Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Dang_cap_nhat,5.0,3.0,45.0,106.67,4.8001499999999995
Hai Bà Trưng,Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,2.0,30.0,95.0,2.85
Đống Đa,Quang Trung,"Nhà ngõ, hẻm",Dang_cap_nhat,4.0,3.0,55.0,78.18,4.299900000000001
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5.0,2.0,46.0,117.39,5.39994
Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,41.0,85.37,3.5001700000000002
Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,32.0,100.0,3.2
Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,77.14,2.6999
Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Dang_cap_nhat,3.0,3.0,37.0,81.08,2.99996
Đống Đa,Phương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,36.0,169.44,6.09984
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,36.0,69.44,2.4998400000000003
Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,1.0,1.0,70.0,65.71,4.5996999999999995
Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,31.0,100.0,3.1
Thanh Xuân,Thanh Xuân Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,38.0,118.42,4.49996
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,36.0,83.33,2.99988
Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,100.0,3.5
Đống Đa,Phương Liên,"Nhà ngõ, hẻm",Dang_cap_nhat,4.0,2.0,20.0,75.0,1.5
Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,13.0,78.46,1.0199799999999999
Tây Hồ,Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,117.14,4.0999
Hà Đông,Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,42.0,32.86,1.3801199999999998
Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,36.0,83.33,2.99988
Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,38.0,92.11,3.50018
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,58.0,55.17,3.19986
Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,94.29,3.30015
Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,44.0,100.0,4.4
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,43.0,84.88,3.6498399999999998
Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,43.0,68.6,2.9497999999999998
Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Dang_cap_nhat,2.0,2.0,25.0,80.0,2.0
Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,33.0,75.76,2.5000800000000005
Hai Bà Trưng,Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,50.0,64.0,3.2
Cầu Giấy,Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,6.0,5.0,51.0,176.47,8.99997
Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,32.0,70.31,2.24992
Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,39.0,61.54,2.40006
Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,47.0,65.96,3.10012
Hà Đông,Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,5.0,45.0,100.0,4.5
Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,1.0,1.0,78.0,93.589,7.299942
Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,40.0,812.5,32.5
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,45.0,75.56,3.4002000000000003
Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,31.0,77.42,2.40002
Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,120.0,4.2
Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6.0,4.0,37.0,91.89,3.39993
Hà Đông,La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,40.0,92.75,3.71
Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,46.0,93.48,4.30008
Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,5.0,45.0,121.11,5.449949999999999
Huyện Hoài Đức,Đông La,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,32.0,41.56,1.32992
Tây Hồ,Thụy Khuê,"Nhà ngõ, hẻm",Dang_cap_nhat,4.0,4.0,38.0,102.63,3.8999399999999995
Hà Đông,La Khê,Nhà phố liền kề,Đã có sổ,5.0,4.0,57.0,114.04,6.500280000000001
Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,33.0,109.09,3.5999700000000003
Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,2.0,2.0,30.0,66.67,2.0001
Tây Hồ,Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,6.0,8.0,54.0,83.33,4.49982
Cầu Giấy,Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,3.0,4.0,35.0,80.0,2.8
Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Dang_cap_nhat,6.0,3.0,34.0,88.24,3.0001599999999997
Huyện Hoài Đức,Đông La,"Nhà mặt phố, mặt tiền",Đã có sổ,1.0,2.0,75.0,37.33,2.79975
Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Dang_cap_nhat,4.0,4.0,60.0,75.0,4.5
Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,45.0,88.89,4.00005
Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,24.0,77.08,1.84992
Hai Bà Trưng,Thanh Lương,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,5.0,44.0,188.64,8.30016
Đống Đa,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,6.0,67.0,116.42,7.800140000000001
Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,77.14,2.6999
Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,52.0,75.96,3.9499199999999997
