District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
Nam Từ Liêm,Mỹ Đình 2,"Nhà mặt phố, mặt tiền",Dang_cap_nhat,5.0,5.0,51.0,76.47,3.8999699999999997
Đống Đa,Quốc Tử Giám,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,8.0,75.0,393.33,29.49975
Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,71.43,2.5000500000000003
Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,54.0,200.0,10.8
Bắc Từ Liêm,Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,40.0,70.0,2.8
Bắc Từ Liêm,Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,36.0,65.28,2.3500799999999997
Hoàng Mai,Tương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,55.0,51.82,2.8501
Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,30.0,60.0,1.8
Long Biên,Đức Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,3.0,4.0,196.0,80.61,15.79956
Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,45.0,91.11,4.09995
Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,37.0,78.38,2.90006
Hai Bà Trưng,Cầu Dền,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,45.0,128.89,5.80005
Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,6.0,60.0,125.0,7.5
Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,25.0,96.0,2.4
Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,34.0,63.24,2.15016
Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,48.0,62.5,3.0
Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,34.0,120.59,4.10006
Hà Đông,Phú La,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,40.0,50.0,2.0
Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,33.0,65.15,2.1499500000000005
Thanh Xuân,Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,48.0,114.58,5.49984
Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đang chờ sổ,2.0,2.0,30.0,28.33,0.8499
Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,2.0,3.0,81.0,39.51,3.20031
Bắc Từ Liêm,Cổ Nhuế 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,45.0,64.44,2.8998
Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4.0,2.0,30.0,86.67,2.6001
Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,45.0,62.22,2.7999
Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,36.0,59.72,2.1499200000000003
Hà Đông,Phú La,Nhà phố liền kề,Đã có sổ,5.0,6.0,83.0,104.43,8.66769
Hà Đông,Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,68.0,76.47,5.19996
Huyện Thanh Trì,Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,36.0,55.22,1.9879200000000001
Hai Bà Trưng,Quỳnh Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,40.0,162.25,6.49
Đống Đa,Quốc Tử Giám,"Nhà ngõ, hẻm",Đã có sổ,2.0,3.0,31.0,74.19,2.29989
Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,35.0,68.57,2.39995
Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,48.0,68.75,3.3
Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,45.0,102.22,4.5999
Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,31.0,112.9,3.4999000000000002
Cầu Giấy,Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,4.0,5.0,45.0,111.11,4.99995
Cầu Giấy,Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,40.0,187.5,7.5
Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,36.0,80.56,2.90016
Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,60.0,83.33,4.9998000000000005
Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,36.0,76.39,2.75004
Hà Đông,Phú La,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,50.0,108.0,5.4
Hà Đông,Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,2.0,2.0,45.0,122.22,5.499899999999999
Đống Đa,Ngã Tư Sở,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,60.0,310.0,18.6
Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,44.0,163.64,7.2001599999999994
Đống Đa,Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,6.0,60.0,483.33,28.9998
Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,65.0,52.31,3.40015
Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,2.0,2.0,34.0,45.82,1.5578800000000002
Hà Đông,Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,50.0,92.0,4.6
Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,31.0,88.71,2.7500099999999996
Ba Đình,Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,47.0,101.06,4.74982
Ba Đình,Cống Vị,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,45.0,166.67,7.50015
Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,1.0,2.0,42.0,50.0,2.1
