Model,RMSE,Accuracy (%)
Neural Network,19.419647555546433,82.95790100097656
Random Forest,19.169570203130746,82.89568717520736
Linear Regression,19.414793434429388,82.63201904296875
Polynomial Regression,21.17884312223153,81.86515808105469
