Model,MAE,RMSE,MAPE,R2
XGBoost (Final GPU Optimized),1.2643794203069123,3.1598853889494056,0.2373682443170296,0.6452731794095713
Random Forest (High Performance),1.300805039553204,3.3201102996711827,0.24526072250738515,0.6083876416064434
