Model,MAE,RMSE,R2
Linear Regression,1.8704935913342453,4.020100169211256,0.48406853540387995
Ridge,1.868746666995238,4.0165283397337435,0.4849849307524632
Lasso,1.8372536517093356,3.9974141804869876,0.4898750526889115
